tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,1325752
Pthreads,2,500000,2000,950464
Pthreads,4,250000,2000,724917
Pthreads,8,125000,2000,469879
Pthreads,1,1000000,4000,2262121
Pthreads,2,500000,4000,1640242
Pthreads,4,250000,4000,1568839
Pthreads,8,125000,4000,958437
Pthreads,1,1000000,8000,4702058
Pthreads,2,500000,8000,3350889
Pthreads,4,250000,8000,2889950
Pthreads,8,125000,8000,1546483
Pthreads,1,2000000,2000,3171104
Pthreads,2,1000000,2000,2077613
Pthreads,4,500000,2000,2077639
Pthreads,8,250000,2000,2202582
Pthreads,1,2000000,4000,5170651
Pthreads,2,1000000,4000,4186564
Pthreads,4,500000,4000,4014677
Pthreads,8,250000,4000,4686393
Pthreads,1,2000000,8000,9622699
Pthreads,2,1000000,8000,8857281
Pthreads,4,500000,8000,8435509
Pthreads,8,250000,8000,8847074
OpenMP,1,1000000,2000,1025800
OpenMP,2,500000,2000,788877
OpenMP,4,250000,2000,794079
OpenMP,8,125000,2000,840946
OpenMP,1,1000000,4000,1986516
OpenMP,2,500000,4000,1536097
OpenMP,4,250000,4000,1554317
OpenMP,8,125000,4000,1663107
OpenMP,1,1000000,8000,4212556
OpenMP,2,500000,8000,3132075
OpenMP,4,250000,8000,3118960
OpenMP,8,125000,8000,3382015
OpenMP,1,2000000,2000,2335393
OpenMP,2,1000000,2000,1989115
OpenMP,4,500000,2000,1966248
OpenMP,8,250000,2000,2160943
OpenMP,1,2000000,4000,4662180
OpenMP,2,1000000,4000,4039850
OpenMP,4,500000,4000,3926154
OpenMP,8,250000,4000,4717229
OpenMP,1,2000000,8000,9851710
OpenMP,2,1000000,8000,7891372
OpenMP,4,500000,8000,7845657
OpenMP,8,250000,8000,8675193